region,prop_urban
Tigray,0.2441
Affar,0.1984
Amhara,0.1577
Oromiya,0.1584
Somali,0.1803
Benishangul-Gumuz,0.1657
SNNP,0.1184
Gambela,0.3364
Harari,0.6108
Addis Ababa,1
Dire Dawa,0.7102
